,Ghia,,一重网格,,二重网格,,三重网格,,SPH
-0.040257,0.00573066,-0.06261,0.03125,-0.04665,0.015625,-0.02785,0.007813,0.007799,0
-0.0792291,0.017192,-0.11294,0.0625,-0.08744,0.03125,-0.05379,0.015625,-0.03566,0.01
-0.118201,0.025788,-0.15489,0.09375,-0.12338,0.046875,-0.07797,0.023438,-0.06823,0.02
-0.154176,0.0401146,-0.19043,0.125,-0.15569,0.0625,-0.10056,0.03125,-0.09966,0.03
-0.193148,0.0544413,-0.2161,0.15625,-0.1855,0.078125,-0.12174,0.039063,-0.12359,0.04
-0.229122,0.0687679,-0.22716,0.1875,-0.21329,0.09375,-0.14175,0.046875,-0.14208,0.05
-0.265096,0.0888252,-0.22233,0.21875,-0.2387,0.109375,-0.1608,0.054688,-0.17331,0.06
-0.301071,0.108883,-0.20491,0.25,-0.2607,0.125,-0.17911,0.0625,-0.18648,0.07
-0.334047,0.131805,-0.18042,0.28125,-0.27802,0.140625,-0.19684,0.070313,-0.20546,0.08
-0.35803,0.154728,-0.15394,0.3125,-0.28963,0.15625,-0.21407,0.078125,-0.23798,0.09
-0.364026,0.180516,-0.12867,0.34375,-0.29499,0.171875,-0.23082,0.085938,-0.2672,0.1
-0.352034,0.203438,-0.10582,0.375,-0.29421,0.1875,-0.24701,0.09375,-0.28543,0.11
-0.319058,0.234957,-0.0853,0.40625,-0.28796,0.203125,-0.26251,0.101563,-0.30437,0.12
-0.280086,0.266476,-0.06647,0.4375,-0.27732,0.21875,-0.27712,0.109375,-0.31912,0.13
-0.238116,0.303725,-0.04861,0.46875,-0.26353,0.234375,-0.29064,0.117188,-0.33495,0.14
-0.19015,0.34384,-0.03117,0.5,-0.24784,0.25,-0.30284,0.125,-0.35072,0.15
-0.151178,0.386819,-0.01375,0.53125,-0.23129,0.265625,-0.31352,0.132813,-0.35647,0.16
-0.109208,0.432665,0.003956,0.5625,-0.21469,0.28125,-0.32251,0.140625,-0.3633,0.17
-0.0552463,0.487106,0.02218,0.59375,-0.19858,0.296875,-0.32966,0.148438,-0.36551,0.18
-0.0132762,0.541547,0.041147,0.625,-0.18324,0.3125,-0.3349,0.15625,-0.36456,0.19
0.0316916,0.590258,0.061048,0.65625,-0.16877,0.328125,-0.3382,0.164063,-0.36037,0.2
0.0796574,0.633238,0.081997,0.6875,-0.15515,0.34375,-0.33957,0.171875,-0.35445,0.21
0.115632,0.676218,0.103968,0.71875,-0.14227,0.359375,-0.33911,0.179688,-0.34555,0.22
0.157602,0.710602,0.126714,0.75,-0.13,0.375,-0.33693,0.1875,-0.3349,0.23
0.199572,0.74212,0.149684,0.78125,-0.11818,0.390625,-0.33318,0.195313,-0.32483,0.24
0.235546,0.773639,0.171993,0.8125,-0.10671,0.40625,-0.32807,0.203125,-0.31334,0.25
0.268522,0.799427,0.192351,0.84375,-0.09548,0.421875,-0.32179,0.210938,-0.30309,0.26
0.298501,0.825215,0.208939,0.875,-0.08442,0.4375,-0.31456,0.21875,-0.29049,0.27
0.325482,0.856734,0.225538,0.90625,-0.07345,0.453125,-0.30657,0.226563,-0.28063,0.28
0.349465,0.879656,0.288798,0.9375,-0.06255,0.46875,-0.29804,0.234375,-0.2688,0.29
0.37045,0.902579,0.528079,0.96875,-0.05167,0.484375,-0.28913,0.242188,-0.258,0.3
0.388437,0.916905,,,-0.04079,0.5,-0.28,0.25,-0.24941,0.31
0.41242,0.934097,,,-0.02989,0.515625,-0.27079,0.257813,-0.23668,0.32
0.463383,0.948424,,,-0.01895,0.53125,-0.26161,0.265625,-0.22548,0.33
0.562313,0.962751,,,-0.00793,0.546875,-0.25253,0.273438,-0.21405,0.34
0.694218,0.977077,,,0.003173,0.5625,-0.24363,0.28125,-0.20527,0.35
0.850107,0.991404,,,0.014402,0.578125,-0.23493,0.289063,-0.19423,0.36
,,,,0.025783,0.59375,-0.22648,0.296875,-0.18497,0.37
,,,,0.037353,0.609375,-0.21826,0.304688,-0.1774,0.38
,,,,0.049148,0.625,-0.21029,0.3125,-0.16894,0.39
,,,,0.061207,0.640625,-0.20254,0.320313,-0.1598,0.4
,,,,0.073569,0.65625,-0.19502,0.328125,-0.14787,0.41
,,,,0.086273,0.671875,-0.18768,0.335938,-0.13499,0.42
,,,,0.099352,0.6875,-0.18052,0.34375,-0.1263,0.43
,,,,0.11283,0.703125,-0.17351,0.351563,-0.11661,0.44
,,,,0.126719,0.71875,-0.16662,0.359375,-0.10629,0.45
,,,,0.141009,0.734375,-0.15984,0.367188,-0.09766,0.46
,,,,0.155669,0.75,-0.15314,0.375,-0.08793,0.47
,,,,0.170632,0.765625,-0.14652,0.382813,-0.07506,0.48
,,,,0.185794,0.78125,-0.13995,0.390625,-0.0665,0.49
,,,,0.201008,0.796875,-0.13343,0.398438,-0.05618,0.5
,,,,0.21608,0.8125,-0.12694,0.40625,-0.04752,0.51
,,,,0.230768,0.828125,-0.12048,0.414063,-0.03697,0.52
,,,,0.244787,0.84375,-0.11403,0.421875,-0.03032,0.53
,,,,0.257819,0.859375,-0.1076,0.429688,-0.01967,0.54
,,,,0.269584,0.875,-0.10118,0.4375,-0.00937,0.55
,,,,0.280112,0.890625,-0.09476,0.445313,-0.00133,0.56
,,,,0.29062,0.90625,-0.08834,0.453125,0.012369,0.57
,,,,0.305642,0.921875,-0.08193,0.460938,0.020285,0.58
,,,,0.336554,0.9375,-0.07551,0.46875,0.03086,0.59
,,,,0.404382,0.953125,-0.06909,0.476563,0.037597,0.6
,,,,0.535577,0.96875,-0.06267,0.484375,0.049179,0.61
,,,,0.743197,0.984375,-0.05624,0.492188,0.059944,0.62
,,,,,,-0.0498,0.5,0.06749,0.63
,,,,,,-0.04335,0.507813,0.078547,0.64
,,,,,,-0.03689,0.515625,0.086297,0.65
,,,,,,-0.03041,0.523438,0.097112,0.66
,,,,,,-0.02392,0.53125,0.11071,0.67
,,,,,,-0.01742,0.539063,0.11951,0.68
,,,,,,-0.01089,0.546875,0.13169,0.69
,,,,,,-0.00434,0.554688,0.14098,0.7
,,,,,,0.002243,0.5625,0.15128,0.71
,,,,,,0.00885,0.570313,0.16179,0.72
,,,,,,0.01549,0.578125,0.17526,0.73
,,,,,,0.022167,0.585938,0.18853,0.74
,,,,,,0.028884,0.59375,0.20199,0.75
,,,,,,0.035646,0.601563,0.21415,0.76
